Time [h],Current [A],Voltage [V],Discharge capacity [A.h],X-averaged cell temperature [K],Cycle,Step
0.0,5.0,4.035539062901027,0.0,298.15,0.0,0.0
0.016666666666666666,5.0,3.942953755099255,0.08333333333333334,298.15,0.0,0.0
0.03333333333333333,5.0,3.9316427512213012,0.16666666666666669,298.15,0.0,0.0
0.05,5.0,3.923560417602655,0.25,298.15,0.0,0.0
0.06666666666666667,5.0,3.9114130884214786,0.33333333333333337,298.15,0.0,0.0
0.08333333333333333,5.0,3.895271403686599,0.41666666666666674,298.15,0.0,0.0
0.1,5.0,3.877307106042328,0.5000000000000001,298.15,0.0,0.0
0.11666666666666667,5.0,3.859236055709756,0.5833333333333335,298.15,0.0,0.0
0.13333333333333333,5.0,3.8419891202781837,0.6666666666666669,298.15,0.0,0.0
0.15,5.0,3.8259160630766975,0.7500000000000002,298.15,0.0,0.0
0.16666666666666666,5.0,3.8109871186062843,0.8333333333333336,298.15,0.0,0.0
0.18333333333333332,5.0,3.7968859326698943,0.916666666666667,298.15,0.0,0.0
0.2,5.0,3.7830821287024756,1.0000000000000002,298.15,0.0,0.0
0.21666666666666667,5.0,3.7690957961150997,1.0833333333333335,298.15,0.0,0.0
0.23333333333333334,5.0,3.7546992098081096,1.1666666666666667,298.15,0.0,0.0
0.25,5.0,3.7398113244287705,1.25,298.15,0.0,0.0
0.26666666666666666,5.0,3.724370699411431,1.3333333333333333,298.15,0.0,0.0
0.2833333333333333,5.0,3.7082868645970586,1.4166666666666665,298.15,0.0,0.0
0.3,5.0,3.691435690344938,1.4999999999999998,298.15,0.0,0.0
0.31666666666666665,5.0,3.673691656372671,1.583333333333333,298.15,0.0,0.0
0.3333333333333333,5.0,3.6550362429003727,1.6666666666666663,298.15,0.0,0.0
0.35,5.0,3.635822836522049,1.7499999999999996,298.15,0.0,0.0
0.36666666666666664,5.0,3.616891993034747,1.8333333333333328,298.15,0.0,0.0
0.38333333333333336,5.0,3.5989898826160998,1.916666666666666,298.15,0.0,0.0
0.4,5.0,3.5823722021198097,1.9999999999999993,298.15,0.0,0.0
0.4166666666666667,5.0,3.5670353532644414,2.0833333333333326,298.15,0.0,0.0
0.43333333333333335,5.0,3.5528951691718005,2.166666666666666,298.15,0.0,0.0
0.45,5.0,3.539805820572721,2.2499999999999996,298.15,0.0,0.0
0.4666666666666667,5.0,3.52756004376105,2.333333333333333,298.15,0.0,0.0
0.48333333333333334,5.0,3.515913928280669,2.4166666666666665,298.15,0.0,0.0
0.5,5.0,3.504624665024291,2.5,298.15,0.0,0.0
0.5166666666666667,5.0,3.493481628396265,2.5833333333333335,298.15,0.0,0.0
0.5333333333333333,5.0,3.4823212229246234,2.666666666666667,298.15,0.0,0.0
0.55,5.0,3.4710231046961106,2.7500000000000004,298.15,0.0,0.0
0.5666666666666667,5.0,3.4594989055550913,2.833333333333334,298.15,0.0,0.0
0.5833333333333334,5.0,3.447679316835803,2.9166666666666674,298.15,0.0,0.0
0.6,5.0,3.4355031298700176,3.000000000000001,298.15,0.0,0.0
0.6166666666666667,5.0,3.4229085178145886,3.0833333333333344,298.15,0.0,0.0
0.6333333333333333,5.0,3.409825714881778,3.166666666666668,298.15,0.0,0.0
0.65,5.0,3.3961723916965116,3.2500000000000013,298.15,0.0,0.0
0.6666666666666666,5.0,3.381856533758097,3.333333333333335,298.15,0.0,0.0
0.6833333333333333,5.0,3.3668007403681703,3.4166666666666683,298.15,0.0,0.0
0.7,5.0,3.3510112374026186,3.5000000000000018,298.15,0.0,0.0
0.7166666666666667,5.0,3.3346753672208687,3.5833333333333353,298.15,0.0,0.0
0.7333333333333333,5.0,3.3181507479104213,3.6666666666666687,298.15,0.0,0.0
0.75,5.0,3.301714264323775,3.750000000000002,298.15,0.0,0.0
0.7666666666666667,5.0,3.285269912970006,3.8333333333333357,298.15,0.0,0.0
0.7833333333333333,5.0,3.2683484628148554,3.916666666666669,298.15,0.0,0.0
0.8,5.0,3.250295938287411,4.000000000000003,298.15,0.0,0.0
0.8166666666666667,5.0,3.23028623908538,4.083333333333336,298.15,0.0,0.0
0.8333333333333334,5.0,3.206973001000612,4.166666666666669,298.15,0.0,0.0
0.85,5.0,3.177533907602517,4.250000000000002,298.15,0.0,0.0
0.8666666666666667,5.0,3.136665193602608,4.333333333333335,298.15,0.0,0.0
0.8833333333333333,5.0,3.082751179616578,4.416666666666668,298.15,0.0,0.0
0.9,5.0,3.024475591457046,4.500000000000001,298.15,0.0,0.0
0.9166666666666666,5.0,2.9661542469187605,4.583333333333334,298.15,0.0,0.0
0.9333333333333333,5.0,2.899760797559431,4.666666666666667,298.15,0.0,0.0
0.95,5.0,2.8077839747739834,4.75,298.15,0.0,0.0
0.9666666666666667,5.0,2.6625720712617476,4.833333333333333,298.15,0.0,0.0
0.9787896821789962,5.0,2.5000099999999983,4.893948410894981,298.15,0.0,0.0
0.978789682179274,0.0,2.679688563257492,4.893948410895676,298.15,0.0,1.0
0.9954563488456628,0.0,2.921579224833444,4.893948410895676,298.15,0.0,1.0
1.0121230155123295,0.0,2.9543386448983315,4.893948410895676,298.15,0.0,1.0
1.0287896821789961,0.0,2.966134677032745,4.893948410895676,298.15,0.0,1.0
1.045456348845663,0.0,2.9719387236590635,4.893948410895676,298.15,0.0,1.0
1.0621230155123296,0.0,2.975522375405406,4.893948410895676,298.15,0.0,1.0
1.0787896821789962,0.0,2.978070540414417,4.893948410895676,298.15,0.0,1.0
1.0954563488456628,0.0,2.9800247682964303,4.893948410895676,298.15,0.0,1.0
